epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.83919,2.35209,2.90928,2.26908,0.00534,0.17073,0.06084,0.0182,2.28659,3.13353,1.98729,0,0,0
2,1.494,2.30069,3.13379,2.08897,0.00534,0.17073,0.06081,0.01895,2.21779,3.1094,1.94219,1.9208e-05,1.9208e-05,1.9208e-05
3,2.14702,2.56455,3.12176,2.24865,0.00534,0.17073,0.06189,0.01892,2.15941,3.10109,1.90007,3.6832e-05,3.6832e-05,3.6832e-05
4,2.75383,1.99662,2.85606,1.82046,0.00533,0.17073,0.06417,0.0219,2.08585,3.10584,1.84482,5.2872e-05,5.2872e-05,5.2872e-05
5,3.40289,2.14741,2.77101,2.02064,0.00535,0.17073,0.0698,0.02577,2.00899,3.11243,1.78582,6.7328e-05,6.7328e-05,6.7328e-05
6,4.0632,2.03287,3.05245,1.93978,0.00543,0.17073,0.07841,0.02832,1.96023,3.12809,1.7379,8.02e-05,8.02e-05,8.02e-05
7,4.70969,2.42557,3.10316,2.1311,0.00553,0.17073,0.07456,0.02587,1.86053,3.11957,1.69943,9.1488e-05,9.1488e-05,9.1488e-05
8,5.37808,1.8191,2.72772,1.85695,0.00565,0.17073,0.07476,0.03125,1.79165,3.09391,1.59752,0.000101192,0.000101192,0.000101192
9,6.13049,1.87617,3.03677,1.77395,0.0057,0.17073,0.06764,0.0298,1.7124,3.0766,1.5092,0.000109312,0.000109312,0.000109312
10,6.75545,2.10492,3.12052,1.86105,0.00648,0.19512,0.04813,0.02873,1.61618,3.04338,1.44239,0.000115848,0.000115848,0.000115848
11,7.39055,1.89705,2.95371,1.76392,0.00657,0.19512,0.0492,0.02797,1.68738,3.08014,1.48964,0.0001208,0.0001208,0.0001208
12,8.06965,1.94291,3.15204,1.77589,0.00663,0.19512,0.05438,0.03144,1.68439,3.08444,1.50841,0.000124168,0.000124168,0.000124168
13,8.69597,1.55758,2.51461,1.69093,0.00578,0.17073,0.05716,0.03467,1.64091,3.06216,1.48202,0.000125952,0.000125952,0.000125952
14,9.47096,1.6944,2.7699,1.6935,0.00655,0.19512,0.05828,0.03243,1.61154,3.0599,1.45094,0.000126152,0.000126152,0.000126152
15,10.3095,1.47628,2.54608,1.82729,0.00651,0.19512,0.05665,0.0321,1.60124,3.04494,1.45282,0.000124768,0.000124768,0.000124768
16,11.03,1.86734,2.88482,1.739,0.00635,0.19512,0.05414,0.03493,1.6201,3.0496,1.47083,0.0001218,0.0001218,0.0001218
17,11.7989,1.80035,2.79832,1.67269,0.00556,0.17073,0.04997,0.03514,1.59807,3.04165,1.45884,0.000117248,0.000117248,0.000117248
18,12.5971,1.82857,2.65507,1.6772,0.00553,0.17073,0.05736,0.0397,1.56252,3.01575,1.44961,0.000111112,0.000111112,0.000111112
19,13.2953,1.72984,2.66762,1.63971,0.00548,0.17073,0.06171,0.04343,1.53286,2.99235,1.41995,0.000103392,0.000103392,0.000103392
20,14.1293,1.97952,2.47503,1.69856,0.00625,0.19512,0.0657,0.04439,1.51797,2.97211,1.41318,9.4088e-05,9.4088e-05,9.4088e-05
21,15.7032,1.74772,2.4421,1.5967,0.00613,0.19512,0.06961,0.04749,1.52992,2.97135,1.41304,8.32e-05,8.32e-05,8.32e-05
22,17.0845,1.64451,2.38713,1.47381,0.00904,0.29268,0.09434,0.05626,1.51765,2.95552,1.40139,7.0728e-05,7.0728e-05,7.0728e-05
23,17.7664,1.62423,2.52862,1.53825,0.00875,0.29268,0.1026,0.06043,1.52779,2.9507,1.39623,5.6672e-05,5.6672e-05,5.6672e-05
24,18.469,1.65785,2.38062,1.55104,0.0086,0.29268,0.10706,0.06119,1.52534,2.93014,1.40741,4.1032e-05,4.1032e-05,4.1032e-05
25,19.1029,1.85252,2.29353,1.82381,0.00929,0.31707,0.10757,0.06584,1.53304,2.93436,1.41234,2.3808e-05,2.3808e-05,2.3808e-05
