epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.476943,1.53814,2.6819,1.77888,0.00444,0.8,0.13027,0.02974,2.49722,3.16051,3.34964,0,0,0
2,0.996572,1.24729,3.24681,1.85591,0.00556,1,0.15056,0.03409,2.39093,3.39204,3.31415,1.9604e-05,1.9604e-05,1.9604e-05
3,1.60559,1.27675,2.5512,1.49841,0.00444,0.8,0.17958,0.0355,2.48398,3.47937,3.5608,3.8416e-05,3.8416e-05,3.8416e-05
4,2.13776,2.21503,3.32592,2.67354,0.00444,0.8,0.1794,0.03616,2.5181,3.31939,3.57377,5.6436e-05,5.6436e-05,5.6436e-05
5,2.70044,1.67548,2.85999,1.95972,0.00556,1,0.26833,0.03787,2.47728,3.31779,3.40194,7.3664e-05,7.3664e-05,7.3664e-05
6,3.20976,1.2141,2.65292,1.40208,0.00556,1,0.20807,0.04109,2.62745,3.2066,3.42677,9.01e-05,9.01e-05,9.01e-05
7,3.75757,2.15989,3.47088,2.67704,0.00444,0.8,0.37001,0.112,2.64182,3.19709,3.55327,0.000105744,0.000105744,0.000105744
8,4.20105,1.2504,2.66584,1.74781,0.00556,1,0.42426,0.1152,2.54161,3.24657,3.69338,0.000120596,0.000120596,0.000120596
9,4.64115,1.33388,2.35506,1.8558,0.00444,0.8,0.561,0.13152,2.46063,3.16413,3.50119,0.000134656,0.000134656,0.000134656
10,5.07681,2.55296,3.71926,2.54481,0.00556,1,0.58775,0.21187,2.3269,3.13187,3.32212,0.000147924,0.000147924,0.000147924
11,5.5278,1.05309,2.3519,1.19071,0.00556,1,0.51679,0.25467,2.08439,3.24017,3.21537,0.0001604,0.0001604,0.0001604
12,6.01764,1.19577,1.88598,1.63092,0.00556,1,0.57726,0.2705,2.07494,3.25596,3.41006,0.000172084,0.000172084,0.000172084
13,6.50144,0.81493,1.97501,1.12694,0.00556,1,0.66113,0.26686,2.02496,3.18964,3.1818,0.000182976,0.000182976,0.000182976
