epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.21374,2.45038,5.1403,1.41194,0,0,0,0,2.1987,5.19663,1.24393,0,0,0
2,2.23159,2.58006,5.7543,1.09096,0,0,0,0,2.15876,5.15336,1.23465,1.6505e-05,1.6505e-05,1.6505e-05
3,3.21786,2.52971,6.14336,1.30479,0,0,0,0,2.11415,5.03766,1.21912,3.26799e-05,3.26799e-05,3.26799e-05
4,4.27973,2.32132,5.28503,1.12478,0,0,0,0,2.01595,4.90376,1.1846,4.85247e-05,4.85247e-05,4.85247e-05
5,5.47403,2.14703,5.71407,1.12052,0.00662,0.28571,0.00432,0.00201,1.94743,4.69501,1.14045,6.40395e-05,6.40395e-05,6.40395e-05
6,6.48208,2.1503,5.61304,1.16671,0.01529,0.71429,0.01374,0.00652,1.71365,4.63546,1.1077,7.92242e-05,7.92242e-05,7.92242e-05
7,7.46159,1.8922,5.08265,0.95841,0.01739,0.85714,0.01746,0.00716,1.61769,4.5015,1.05585,9.40788e-05,9.40788e-05,9.40788e-05
8,8.44113,1.5335,4.18463,0.90472,0.01072,0.57143,0.00963,0.00651,1.36771,4.54304,0.96159,0.000108603,0.000108603,0.000108603
9,9.39614,1.52911,4.21711,0.8949,0.015,0.85714,0.02392,0.01501,1.28326,4.50491,0.9376,0.000122798,0.000122798,0.000122798
10,10.3877,1.84357,4.01886,1.0059,0.01405,0.85714,0.08564,0.0499,1.32045,4.43705,0.93039,0.000136662,0.000136662,0.000136662
11,11.4313,1.57042,4.00592,0.97526,0.01313,0.85714,0.22596,0.09979,1.30078,4.38679,0.92274,0.000150197,0.000150197,0.000150197
12,12.4094,1.64916,3.56618,0.89625,0.01242,0.85714,0.31675,0.11753,1.29172,4.37666,0.91921,0.000163401,0.000163401,0.000163401
13,13.3445,1.69817,3.32066,0.99173,0.00978,0.71429,0.43053,0.17389,1.29178,4.34564,0.91063,0.000176275,0.000176275,0.000176275
14,14.2847,1.92056,3.14569,0.87443,0.00971,0.71429,0.5284,0.1838,1.27052,4.2582,0.90547,0.000188819,0.000188819,0.000188819
15,15.2434,1.66139,1.90189,1.07067,0.01183,0.85714,0.53093,0.18123,1.25834,4.22199,0.89573,0.000201034,0.000201034,0.000201034
16,16.3108,1.8228,2.77521,1.13105,0.01198,0.85714,0.48184,0.14429,1.35126,4.23161,0.90568,0.000212918,0.000212918,0.000212918
17,17.4091,1.68081,2.37296,0.98846,0.01193,0.85714,0.48179,0.13074,1.43265,4.2238,0.91956,0.000224472,0.000224472,0.000224472
18,18.4171,1.45147,2.45515,0.84699,0.01193,0.85714,0.48179,0.13074,1.43265,4.2238,0.91956,0.000235695,0.000235695,0.000235695
19,19.351,1.9541,3.48617,1.17356,0.01357,1,0.52588,0.10892,1.49094,4.24323,0.92646,0.000246589,0.000246589,0.000246589
20,20.2718,1.57278,2.11265,1.01944,0.01357,1,0.52588,0.10892,1.49094,4.24323,0.92646,0.000257153,0.000257153,0.000257153
21,21.214,1.64233,2.03306,0.98795,0.01359,1,0.46396,0.10791,1.4599,4.24335,0.91869,0.000267387,0.000267387,0.000267387
22,22.1848,1.91416,2.13113,1.02449,0.01359,1,0.46396,0.10791,1.4599,4.24335,0.91869,0.00027729,0.00027729,0.00027729
23,23.1251,1.31412,2.20343,0.8687,0.0119,0.85714,0.15844,0.05125,1.32877,4.20513,0.907,0.000286864,0.000286864,0.000286864
24,24.0878,1.92969,2.84356,1.32988,0.0119,0.85714,0.15844,0.05125,1.32877,4.20513,0.907,0.000296108,0.000296108,0.000296108
25,25.0113,1.50008,1.8206,0.86025,0.01158,0.85714,0.15849,0.03642,1.16624,4.19251,0.90005,0.000305021,0.000305021,0.000305021
26,25.9573,1.73565,1.98499,0.92723,0.01158,0.85714,0.15849,0.03642,1.16624,4.19251,0.90005,0.000313604,0.000313604,0.000313604
27,26.9061,1.52296,2.45101,1.0288,0.00772,0.57143,0.15195,0.03452,1.07428,4.17978,0.88649,0.000321858,0.000321858,0.000321858
28,27.8246,1.53583,2.31372,0.97065,0.00772,0.57143,0.15195,0.03452,1.07428,4.17978,0.88649,0.000329781,0.000329781,0.000329781
29,28.7479,1.71602,2.51718,0.89108,0.00816,0.57143,0.15222,0.02047,1.1897,4.11286,0.88468,0.000337374,0.000337374,0.000337374
30,29.6556,1.61346,1.89487,0.9143,0.00816,0.57143,0.15222,0.02047,1.1897,4.11286,0.88468,0.000344637,0.000344637,0.000344637
31,30.5781,1.33855,2.14015,0.91101,0.00847,0.57143,0.0282,0.00826,1.31439,4.06386,0.89486,0.00035157,0.00035157,0.00035157
32,31.4935,1.77732,1.9063,0.9826,0.00847,0.57143,0.0282,0.00826,1.31439,4.06386,0.89486,0.000358173,0.000358173,0.000358173
33,32.4169,1.57536,3.16705,0.88989,0.00885,0.57143,0.00943,0.0058,1.34972,4.04939,0.91788,0.000364446,0.000364446,0.000364446
34,33.3191,1.49768,1.70355,0.92166,0.00885,0.57143,0.00943,0.0058,1.34972,4.04939,0.91788,0.000370389,0.000370389,0.000370389
35,34.2523,1.57075,2.05802,1.00977,0.00917,0.57143,0.01377,0.00677,1.30247,4.05533,0.94678,0.000376002,0.000376002,0.000376002
36,35.1715,1.29548,1.77692,0.90623,0.00917,0.57143,0.01377,0.00677,1.30247,4.05533,0.94678,0.000381285,0.000381285,0.000381285
37,36.2021,1.45491,2.04568,0.95386,0.01354,0.85714,0.01664,0.0062,1.59995,4.04254,1.03093,0.000386237,0.000386237,0.000386237
38,37.2414,1.36041,2.29432,0.88772,0.01354,0.85714,0.01664,0.0062,1.59995,4.04254,1.03093,0.00039086,0.00039086,0.00039086
39,38.189,1.47124,1.75529,1.02834,0.01348,0.85714,0.01687,0.00484,1.77232,4.13399,1.09234,0.000395152,0.000395152,0.000395152
40,39.1086,1.74632,1.84454,1.02306,0.01348,0.85714,0.01687,0.00484,1.77232,4.13399,1.09234,0.000399115,0.000399115,0.000399115
41,40.0462,1.55832,2.04795,0.8744,0.01114,0.71429,0.01315,0.00462,1.76144,4.08519,1.09683,0.000402747,0.000402747,0.000402747
42,40.9652,1.56323,2.0955,0.96165,0.01114,0.71429,0.01315,0.00462,1.76144,4.08519,1.09683,0.00040605,0.00040605,0.00040605
43,41.9092,1.50068,1.72843,0.99278,0.01089,0.71429,0.01371,0.0066,1.60075,4.01737,1.05792,0.000409022,0.000409022,0.000409022
44,42.8089,1.53202,2.44627,0.90786,0.01089,0.71429,0.01371,0.0066,1.60075,4.01737,1.05792,0.000411664,0.000411664,0.000411664
45,43.7487,1.62674,1.5167,1.10731,0.01059,0.71429,0.01375,0.00763,1.46706,3.9714,1.01291,0.000413976,0.000413976,0.000413976
46,44.6695,1.29531,2.31296,1.02569,0.01059,0.71429,0.01375,0.00763,1.46706,3.9714,1.01291,0.000415958,0.000415958,0.000415958
47,46.455,1.51084,2.097,0.95148,0.01296,0.85714,0.01914,0.00971,1.4285,4.00918,1.00132,0.00041761,0.00041761,0.00041761
48,47.4974,1.305,1.88256,0.85002,0.01296,0.85714,0.01914,0.00971,1.4285,4.00918,1.00132,0.000418932,0.000418932,0.000418932
49,48.5394,1.47004,1.66458,1.02911,0.0108,0.71429,0.01333,0.00807,1.41572,4.09675,0.99047,0.000419924,0.000419924,0.000419924
50,49.6348,1.12904,1.60131,0.96115,0.0108,0.71429,0.01333,0.00807,1.41572,4.09675,0.99047,0.000420586,0.000420586,0.000420586
51,50.658,1.27611,1.74043,0.90158,0.01121,0.71429,0.0132,0.00865,1.35676,3.96293,0.97822,0.000420918,0.000420918,0.000420918
52,51.6242,1.35908,1.71631,0.92583,0.01121,0.71429,0.0132,0.00865,1.35676,3.96293,0.97822,0.000420919,0.000420919,0.000420919
53,52.5865,1.4892,2.77995,1.07945,0.01121,0.71429,0.0132,0.00865,1.35676,3.96293,0.97822,0.000420591,0.000420591,0.000420591
54,53.5718,1.31127,1.83374,0.85148,0.01357,0.85714,0.02268,0.00993,1.31801,3.77504,0.96745,0.000419932,0.000419932,0.000419932
55,54.5162,1.52572,1.67537,0.84378,0.01357,0.85714,0.02268,0.00993,1.31801,3.77504,0.96745,0.000418944,0.000418944,0.000418944
56,55.491,1.42886,1.89073,0.90459,0.01357,0.85714,0.02268,0.00993,1.31801,3.77504,0.96745,0.000417625,0.000417625,0.000417625
57,56.4367,1.19115,1.89272,0.88046,0.01136,0.71429,0.05449,0.01557,1.32354,3.64264,0.95378,0.000415977,0.000415977,0.000415977
58,57.3542,1.31372,1.64042,0.97721,0.01136,0.71429,0.05449,0.01557,1.32354,3.64264,0.95378,0.000413998,0.000413998,0.000413998
