epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27534,1.82612,5.13603,1.20863,0,0,0,0,2.70245,5.40749,1.42934,0,0,0
2,2.63506,2.59199,5.62863,1.06778,0,0,0,0,2.65742,5.2583,1.39741,1.6505e-05,1.6505e-05,1.6505e-05
3,3.61634,2.4513,6.41054,1.28371,0,0,0,0,2.59142,5.33993,1.39377,3.26799e-05,3.26799e-05,3.26799e-05
4,4.56541,1.9133,5.68674,1.04635,0,0,0,0,2.55045,5.26533,1.36942,4.85247e-05,4.85247e-05,4.85247e-05
5,5.52499,2.30705,5.90295,1.2963,0.0031,0.14286,0.00178,0.00053,2.15354,5.14747,1.26078,6.40395e-05,6.40395e-05,6.40395e-05
6,6.47806,1.85356,5.363,1.15902,0.01441,0.71429,0.01235,0.00601,1.83374,4.90694,1.17814,7.92242e-05,7.92242e-05,7.92242e-05
7,7.42677,2.15079,4.92471,1.03582,0.01604,0.85714,0.01516,0.00608,1.8127,4.75335,1.14937,9.40788e-05,9.40788e-05,9.40788e-05
8,8.95738,1.79144,4.39742,0.98506,0.01235,0.71429,0.01129,0.00588,1.68071,4.68477,1.10732,0.000108603,0.000108603,0.000108603
9,10.0168,1.82357,4.44236,1.00632,0.00941,0.57143,0.00802,0.00501,1.6324,4.66185,1.08144,0.000122798,0.000122798,0.000122798
10,10.9976,1.79901,3.82982,1.04555,0.00862,0.57143,0.01115,0.00535,1.60778,4.63774,1.06578,0.000136662,0.000136662,0.000136662
11,12.1261,1.50044,3.55726,1.0557,0.00784,0.57143,0.00736,0.0049,1.59018,4.58046,1.06671,0.000150197,0.000150197,0.000150197
12,13.1938,2.44638,3.84568,1.25021,0.00896,0.71429,0.00957,0.0053,1.61195,4.55975,1.06419,0.000163401,0.000163401,0.000163401
13,1014.65,1.60851,2.80196,1.06204,0.00661,0.57143,0.00703,0.00458,1.55836,4.48486,1.03359,0.000176275,0.000176275,0.000176275
14,1015.82,2.32204,4.13895,1.1075,0.00977,0.85714,0.01345,0.00683,1.63639,4.55669,1.04472,0.000188819,0.000188819,0.000188819
15,1016.87,1.92677,1.73311,1.16103,0.00955,0.85714,0.01369,0.00705,1.67012,4.56257,1.04211,0.000201034,0.000201034,0.000201034
16,1017.79,1.83387,2.57141,1.07067,0.00943,0.85714,0.01392,0.00689,1.7014,4.47178,1.04658,0.000212918,0.000212918,0.000212918
17,2090.75,1.43209,2.10327,0.95154,0.0094,0.85714,0.01388,0.00615,1.79382,4.4154,1.09974,0.000224472,0.000224472,0.000224472
18,2091.94,1.82604,2.40854,0.95611,0.0094,0.85714,0.01388,0.00615,1.79382,4.4154,1.09974,0.000235695,0.000235695,0.000235695
19,2093.06,1.91978,2.45275,1.17738,0.00926,0.85714,0.01401,0.00622,1.79515,4.35376,1.12,0.000246589,0.000246589,0.000246589
20,2094.14,1.66113,2.62471,1.04216,0.00926,0.85714,0.01401,0.00622,1.79515,4.35376,1.12,0.000257153,0.000257153,0.000257153
21,2095.14,1.61213,1.99652,1.05475,0.00881,0.85714,0.01292,0.00632,1.70394,4.32437,1.08774,0.000267387,0.000267387,0.000267387
22,3027.32,2.04834,2.15288,1.04599,0.00881,0.85714,0.01292,0.00632,1.70394,4.32437,1.08774,0.00027729,0.00027729,0.00027729
23,3028.32,1.46607,2.22273,1.01305,0.00846,0.85714,0.00983,0.00532,1.62631,4.24283,1.05618,0.000286864,0.000286864,0.000286864
24,3029.35,1.72483,3.28874,1.24355,0.00846,0.85714,0.00983,0.00532,1.62631,4.24283,1.05618,0.000296108,0.000296108,0.000296108
25,3030.34,1.30841,1.70803,0.95074,0.00833,0.85714,0.00893,0.00473,1.59201,4.28055,1.01463,0.000305021,0.000305021,0.000305021
26,3948.2,1.66929,2.1112,0.97026,0.00833,0.85714,0.00893,0.00473,1.59201,4.28055,1.01463,0.000313604,0.000313604,0.000313604
27,3949.29,1.35826,2.33093,1.12652,0.00708,0.71429,0.00684,0.00354,1.54197,4.26194,1.0095,0.000321858,0.000321858,0.000321858
28,3950.35,1.41622,2.01284,0.89025,0.00708,0.71429,0.00684,0.00354,1.54197,4.26194,1.0095,0.000329781,0.000329781,0.000329781
29,3951.33,1.79794,2.47751,0.94011,0.00872,0.85714,0.01016,0.00469,1.49159,4.25352,0.98822,0.000337374,0.000337374,0.000337374
30,3952.25,1.57378,1.81377,0.99571,0.00872,0.85714,0.01016,0.00469,1.49159,4.25352,0.98822,0.000344637,0.000344637,0.000344637
31,4851.12,1.14579,2.24064,0.93215,0.00901,0.85714,0.0093,0.00492,1.47121,4.16236,0.98919,0.00035157,0.00035157,0.00035157
32,4852.17,1.74953,1.73483,1.04804,0.00901,0.85714,0.0093,0.00492,1.47121,4.16236,0.98919,0.000358173,0.000358173,0.000358173
33,4853.18,1.59113,3.16232,0.88652,0.00943,0.85714,0.00969,0.00493,1.50764,4.20923,1.01955,0.000364446,0.000364446,0.000364446
34,4854.08,1.50208,1.70197,1.00273,0.00943,0.85714,0.00969,0.00493,1.50764,4.20923,1.01955,0.000370389,0.000370389,0.000370389
35,4855,1.74032,1.91274,1.01198,0.00972,0.85714,0.00986,0.00455,1.57925,4.28478,1.04397,0.000376002,0.000376002,0.000376002
36,4855.92,1.50827,1.80267,0.95666,0.00972,0.85714,0.00986,0.00455,1.57925,4.28478,1.04397,0.000381285,0.000381285,0.000381285
37,5859.08,1.61457,2.02956,1.1029,0.00985,0.85714,0.01012,0.00459,1.62415,4.30081,1.0448,0.000386237,0.000386237,0.000386237
38,5860.22,1.32017,2.20762,0.89169,0.00985,0.85714,0.01012,0.00459,1.62415,4.30081,1.0448,0.00039086,0.00039086,0.00039086
39,5861.91,1.8323,1.94569,1.04421,0.00843,0.71429,0.00805,0.00401,1.59453,4.20536,1.04528,0.000395152,0.000395152,0.000395152
40,5863.21,1.35365,2.01079,0.98599,0.00843,0.71429,0.00805,0.00401,1.59453,4.20536,1.04528,0.000399115,0.000399115,0.000399115
41,5864.55,1.34719,1.68444,0.79432,0.00855,0.71429,0.00825,0.00476,1.5176,4.109,1.01403,0.000402747,0.000402747,0.000402747
42,5866.04,1.20888,1.57536,0.89607,0.00855,0.71429,0.00825,0.00476,1.5176,4.109,1.01403,0.00040605,0.00040605,0.00040605
43,5867.53,1.20033,1.51536,0.93752,0.0088,0.71429,0.00829,0.00456,1.35098,4.06726,0.96507,0.000409022,0.000409022,0.000409022
44,5868.84,1.76484,2.13886,0.96095,0.0088,0.71429,0.00829,0.00456,1.35098,4.06726,0.96507,0.000411664,0.000411664,0.000411664
45,5870.32,1.48832,1.56412,0.91516,0.00703,0.57143,0.00617,0.00379,1.30927,4.10328,0.94825,0.000413976,0.000413976,0.000413976
46,5871.59,1.3686,2.08506,1.06175,0.00703,0.57143,0.00617,0.00379,1.30927,4.10328,0.94825,0.000415958,0.000415958,0.000415958
47,5872.96,1.32405,1.69537,0.86562,0.00693,0.57143,0.00609,0.00281,1.30468,4.15388,0.94336,0.00041761,0.00041761,0.00041761
48,5874.1,1.42253,1.77406,0.87247,0.00693,0.57143,0.00609,0.00281,1.30468,4.15388,0.94336,0.000418932,0.000418932,0.000418932
49,5875.36,1.289,1.65002,0.90153,0.01043,0.85714,0.01072,0.00443,1.35177,4.06119,0.93557,0.000419924,0.000419924,0.000419924
50,5876.98,1.26996,1.59431,0.94885,0.01043,0.85714,0.01072,0.00443,1.35177,4.06119,0.93557,0.000420586,0.000420586,0.000420586
51,5879.38,1.16083,1.70314,0.86243,0.00704,0.57143,0.00738,0.00401,1.40326,3.98596,0.92661,0.000420918,0.000420918,0.000420918
52,5880.74,1.14573,1.72288,0.86391,0.00704,0.57143,0.00738,0.00401,1.40326,3.98596,0.92661,0.000420919,0.000420919,0.000420919
53,5881.8,1.49178,2.22547,0.96368,0.00704,0.57143,0.00738,0.00401,1.40326,3.98596,0.92661,0.000420591,0.000420591,0.000420591
54,5882.89,1.48711,1.45478,0.9229,0.00676,0.57143,0.0085,0.00523,1.35368,4.03189,0.92514,0.000419932,0.000419932,0.000419932
55,5884.2,1.79247,1.73931,0.98052,0.00676,0.57143,0.0085,0.00523,1.35368,4.03189,0.92514,0.000418944,0.000418944,0.000418944
56,5885.72,1.67026,1.99944,0.99837,0.00676,0.57143,0.0085,0.00523,1.35368,4.03189,0.92514,0.000417625,0.000417625,0.000417625
57,5887.01,1.91827,2.12807,1.11453,0.00824,0.71429,0.01141,0.00725,1.46967,4.2343,0.93367,0.000415977,0.000415977,0.000415977
58,5888.39,1.21335,1.58441,0.97802,0.00824,0.71429,0.01141,0.00725,1.46967,4.2343,0.93367,0.000413998,0.000413998,0.000413998
59,5889.93,1.34789,1.67386,0.9277,0.00824,0.71429,0.01141,0.00725,1.46967,4.2343,0.93367,0.000411689,0.000411689,0.000411689
60,5891.74,1.1632,1.70965,0.86778,0.0098,0.85714,0.01495,0.00676,1.59732,4.77789,0.96273,0.00040905,0.00040905,0.00040905
61,5892.8,1.44847,1.65203,0.86542,0.0098,0.85714,0.01495,0.00676,1.59732,4.77789,0.96273,0.000406081,0.000406081,0.000406081
62,5893.75,1.18076,1.71511,0.9138,0.0098,0.85714,0.01495,0.00676,1.59732,4.77789,0.96273,0.000402782,0.000402782,0.000402782
